split,equation_name,feature_names,raw_expression,symbolic_expression,param_names,gt_params,numerical_expression,train_nmse,test_nmse,ood_nmse
bio_pop_growth,BPG0,t;P,0.9539969835279999*(1 - P(t)/96.90688297671034)*P(t) + 0.9539969835279999*P(t)**0.333333333333333,c0*(c1 - P/c2)*P + c3*P**c4,c0;c1;c2;c3;c4,9.539969835279999e-01;1.000000000000000e+00;9.690688297671034e+01;9.539969835279999e-01;3.333333333333330e-01,0.9539969835279999*(1 - P/96.90688297671034)*P + 0.9539969835279999*P**0.333333333333333,1.5391588713690418e-13,1.3204272065426601e-13,1.5151500982786162e-09
bio_pop_growth,BPG1,t;P,0.3156057016002752*P(t)*exp(-0.05405074842498068*t) + 0.3156057016002752*P(t)**2/(9.870854086995406*P(t) + 1),c0*P*exp(-c1*t) + c2*P**c3/(c4*P + c5),c0;c1;c2;c3;c4;c5,3.156057016002752e-01;5.405074842498068e-02;3.156057016002752e-01;2.000000000000000e+00;9.870854086995406e+00;1.000000000000000e+00,0.3156057016002752*P*exp(-0.05405074842498068*t) + 0.3156057016002752*P**2/(9.870854086995406*P + 1),5.180240007555216e-15,5.336892544360383e-15,6.461971208749353e-13
bio_pop_growth,BPG2,t;P,0.2569297861044923*P(t)*sin(0.7218439642922193*t) + 0.11492904603507054*P(t)*exp(-0.030384619767814418*t),c0*P*sin(c1*t) + c2*P*exp(-c3*t),c0;c1;c2;c3,2.569297861044923e-01;7.218439642922193e-01;1.149290460350705e-01;3.038461976781442e-02,0.2569297861044923*P*sin(0.7218439642922193*t) + 0.11492904603507054*P*exp(-0.030384619767814418*t),6.203506500778975e-13,5.072286740259379e-13,6.687483297305169e-13
bio_pop_growth,BPG3,t;P,0.8450821034088298*(-1 + P(t)/5.115386454523557)*(1 - P(t)/34.43886242377677)*P(t) + 0.8450821034088298*(1 - exp(-0.09687266473516928*P(t)))*P(t),c0*(-c1 + P/c2)*(c3 - P/c4)*P + c5*(c6 - exp(-c7*P))*P,c0;c1;c2;c3;c4;c5;c6;c7,8.450821034088298e-01;1.000000000000000e+00;5.115386454523557e+00;1.000000000000000e+00;3.443886242377677e+01;8.450821034088298e-01;1.000000000000000e+00;9.687266473516928e-02,0.8450821034088298*(-1 + P/5.115386454523557)*(1 - P/34.43886242377677)*P + 0.8450821034088298*(1 - exp(-0.09687266473516928*P))*P,3.1414788838406602e-12,4.41732045809554e-12,0.2804609745864857
bio_pop_growth,BPG4,t;P,0.1727856699554779*(1 - P(t)/48.5483027446097)*P(t) + 0.1727856699554779*P(t)/(1 + exp(-1.5237423595759925*(-0.9236923548638324 + P(t)))),c0*(c1 - P/c2)*P + c3*P/(c4 + exp(-c5*(-c6 + P))),c0;c1;c2;c3;c4;c5;c6,1.727856699554779e-01;1.000000000000000e+00;4.854830274460970e+01;1.727856699554779e-01;1.000000000000000e+00;1.523742359575992e+00;9.236923548638324e-01,0.1727856699554779*(1 - P/48.5483027446097)*P + 0.1727856699554779*P/(1 + exp(-1.5237423595759925*(-0.9236923548638324 + P))),5.20395783595626e-14,5.3603671583757715e-14,5.622889602782373e-07
bio_pop_growth,BPG5,t;P,0.9198344660444582*(1 - P(t)/84.0283518630852)*P(t) + 0.9198344660444582*P(t)**2/(7.531475575495239*P(t) + 1),c0*(c1 - P/c2)*P + c3*P**c4/(c5*P + c6),c0;c1;c2;c3;c4;c5;c6,9.198344660444582e-01;1.000000000000000e+00;8.402835186308521e+01;9.198344660444582e-01;2.000000000000000e+00;7.531475575495239e+00;1.000000000000000e+00,0.9198344660444582*(1 - P/84.0283518630852)*P + 0.9198344660444582*P**2/(7.531475575495239*P + 1),1.820677816101223e-13,1.533622282043211e-13,3.065541866753284e-09
bio_pop_growth,BPG6,t;P,-6.216849410245645*1.4127513976416965*P(t) + 0.8578822735168387*(1 - P(t)/79.20259671838578)*P(t) + 0.8578822735168387*P(t)**0.333333333333333 + 0.8578822735168387*P(t),-c0*c1*P + c2*(c3 - P/c4)*P + c5*P**c6 + c7*P,c0;c1;c2;c3;c4;c5;c6;c7,6.216849410245645e+00;1.412751397641697e+00;8.578822735168387e-01;1.000000000000000e+00;7.920259671838578e+01;8.578822735168387e-01;3.333333333333330e-01;8.578822735168387e-01,-6.216849410245645*1.4127513976416965*P + 0.8578822735168387*(1 - P/79.20259671838578)*P + 0.8578822735168387*P**0.333333333333333 + 0.8578822735168387*P,1.261284136660272e-15,6.202676047037879e-15,4.496247113132725e-09
bio_pop_growth,BPG7,t;P,0.7213553457664288*(-1 + P(t)/6.6511035054181695)*(1 - P(t)/13.538092585698905)*P(t) + 0.7213553457664288*(1 - P(t)/13.538092585698905)*P(t) + 0.7213553457664288*P(t)**0.333333333333333,c0*(-c1 + P/c2)*(c3 - P/c4)*P + c5*(c6 - P/c7)*P + c8*P**c9,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,7.213553457664288e-01;1.000000000000000e+00;6.651103505418170e+00;1.000000000000000e+00;1.353809258569891e+01;7.213553457664288e-01;1.000000000000000e+00;1.353809258569891e+01;7.213553457664288e-01;3.333333333333330e-01,0.7213553457664288*(-1 + P/6.6511035054181695)*(1 - P/13.538092585698905)*P + 0.7213553457664288*(1 - P/13.538092585698905)*P + 0.7213553457664288*P**0.333333333333333,3.7773211003879715e-13,2.620785794427502e-13,5.387796517786705e-09
bio_pop_growth,BPG8,t;P,0.9909642091509507*(1 - P(t)/39.01184604772507)*P(t) + 0.9909642091509507*P(t)**0.333333333333333 + 0.9909642091509507*P(t),c0*(c1 - P/c2)*P + c3*P**c4 + c5*P,c0;c1;c2;c3;c4;c5,9.909642091509507e-01;1.000000000000000e+00;3.901184604772507e+01;9.909642091509507e-01;3.333333333333330e-01;9.909642091509507e-01,0.9909642091509507*(1 - P/39.01184604772507)*P + 0.9909642091509507*P**0.333333333333333 + 0.9909642091509507*P,4.839045778606952e-13,5.416620182956569e-13,6.784544491431484e-09
bio_pop_growth,BPG9,t;P,0.1699888096710614*(-1 + P(t)/1.0472843670254641)*(1 - P(t)/10.210545156320043)*P(t) + 0.1699888096710614*(1 - P(t)/10.210545156320043)*P(t) + 0.1699888096710614*(1 - exp(-0.09709294493863778*P(t)))*P(t),c0*(-c1 + P/c2)*(c3 - P/c4)*P + c5*(c6 - P/c7)*P + c8*(c9 - exp(-c10*P))*P,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10,1.699888096710614e-01;1.000000000000000e+00;1.047284367025464e+00;1.000000000000000e+00;1.021054515632004e+01;1.699888096710614e-01;1.000000000000000e+00;1.021054515632004e+01;1.699888096710614e-01;1.000000000000000e+00;9.709294493863778e-02,0.1699888096710614*(-1 + P/1.0472843670254641)*(1 - P/10.210545156320043)*P + 0.1699888096710614*(1 - P/10.210545156320043)*P + 0.1699888096710614*(1 - exp(-0.09709294493863778*P))*P,7.932459292955965e-13,6.141205214337236e-13,3.3481460746627356e-09
bio_pop_growth,BPG10,t;P,0.10100810033209855*P(t)**0.333333333333333 + 0.10100810033209855*P(t),c0*P**c1 + c2*P,c0;c1;c2,1.010081003320985e-01;3.333333333333330e-01;1.010081003320985e-01,0.10100810033209855*P**0.333333333333333 + 0.10100810033209855*P,1.814116767343571e-15,2.1225645685365675e-15,3.998237658162563e-14
bio_pop_growth,BPG11,t;P,0.7124493718672418*(1 - P(t)/68.90600928530216)*P(t) + 0.7124493718672418*P(t)**0.333333333333333 + 0.7124493718672418*P(t)*exp(-0.03459335742983884*t),c0*(c1 - P/c2)*P + c3*P**c4 + c5*P*exp(-c6*t),c0;c1;c2;c3;c4;c5;c6,7.124493718672418e-01;1.000000000000000e+00;6.890600928530216e+01;7.124493718672418e-01;3.333333333333330e-01;7.124493718672418e-01;3.459335742983884e-02,0.7124493718672418*(1 - P/68.90600928530216)*P + 0.7124493718672418*P**0.333333333333333 + 0.7124493718672418*P*exp(-0.03459335742983884*t),7.768797501930469e-14,8.34788412184264e-14,7.62143051271201e-09
bio_pop_growth,BPG12,t;P,0.8770002846146427*P(t)*sin(0.5671736066225963*t) + 0.7013915186995147*(1 - P(t)/65.7541311408653)*P(t),c0*P*sin(c1*t) + c2*(c3 - P/c4)*P,c0;c1;c2;c3;c4,8.770002846146427e-01;5.671736066225963e-01;7.013915186995147e-01;1.000000000000000e+00;6.575413114086530e+01,0.8770002846146427*P*sin(0.5671736066225963*t) + 0.7013915186995147*(1 - P/65.7541311408653)*P,6.885241329646569e-13,6.726355917657556e-13,1.5029069074391322e-12
bio_pop_growth,BPG13,t;P,0.20107390997009728*(-1 + P(t)/5.636576533003584)*(1 - P(t)/10.232561336048414)*P(t) + 0.20107390997009728*P(t) + 0.20107390997009728*P(t)/(1 + exp(-5.636576533003584*(-0.6341847122108325 + P(t)))),c0*(-c1 + P/c2)*(c3 - P/c4)*P + c5*P + c6*P/(c7 + exp(-c8*(-c9 + P))),c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,2.010739099700973e-01;1.000000000000000e+00;5.636576533003584e+00;1.000000000000000e+00;1.023256133604841e+01;2.010739099700973e-01;2.010739099700973e-01;1.000000000000000e+00;5.636576533003584e+00;6.341847122108325e-01,0.20107390997009728*(-1 + P/5.636576533003584)*(1 - P/10.232561336048414)*P + 0.20107390997009728*P + 0.20107390997009728*P/(1 + exp(-5.636576533003584*(-0.6341847122108325 + P))),6.576437218526696e-13,6.506767712531201e-13,1.5958256031664635e-08
bio_pop_growth,BPG14,t;P,0.11423898258902421*(1 - P(t)/40.69810220267985)*P(t) + 0.11423898258902421*(1 - exp(-0.08368363514073095*P(t)))*P(t) + 0.11423898258902421*P(t)*exp(-0.08368363514073095*t),c0*(c1 - P/c2)*P + c3*(c4 - exp(-c5*P))*P + c6*P*exp(-c7*t),c0;c1;c2;c3;c4;c5;c6;c7,1.142389825890242e-01;1.000000000000000e+00;4.069810220267985e+01;1.142389825890242e-01;1.000000000000000e+00;8.368363514073095e-02;1.142389825890242e-01;8.368363514073095e-02,0.11423898258902421*(1 - P/40.69810220267985)*P + 0.11423898258902421*(1 - exp(-0.08368363514073095*P))*P + 0.11423898258902421*P*exp(-0.08368363514073095*t),4.071751817219243e-14,3.628034347837625e-14,1.543018455125478e-08
bio_pop_growth,BPG15,t;P,0.4866911314650416*P(t)**0.333333333333333 + 0.4866911314650416*P(t)*exp(-0.08577402101126279*t),c0*P**c1 + c2*P*exp(-c3*t),c0;c1;c2;c3,4.866911314650416e-01;3.333333333333330e-01;4.866911314650416e-01;8.577402101126279e-02,0.4866911314650416*P**0.333333333333333 + 0.4866911314650416*P*exp(-0.08577402101126279*t),2.1300109867428988e-14,2.0950442703381302e-14,9.134501438777122e-13
bio_pop_growth,BPG16,t;P,0.8677806610632854*(-1 + P(t)/6.057935627201261)*(1 - P(t)/14.185052779605893)*P(t) + 0.8677806610632854*P(t)**0.333333333333333 + 0.8677806610632854*P(t),c0*(-c1 + P/c2)*(c3 - P/c4)*P + c5*P**c6 + c7*P,c0;c1;c2;c3;c4;c5;c6;c7,8.677806610632854e-01;1.000000000000000e+00;6.057935627201261e+00;1.000000000000000e+00;1.418505277960589e+01;8.677806610632854e-01;3.333333333333330e-01;8.677806610632854e-01,0.8677806610632854*(-1 + P/6.057935627201261)*(1 - P/14.185052779605893)*P + 0.8677806610632854*P**0.333333333333333 + 0.8677806610632854*P,1.773235370161131e-12,2.8448239894746545e-12,4.7048573732682215e-09
bio_pop_growth,BPG17,t;P,0.768873878858443*(-1 + P(t)/8.670374869520632)*(1 - P(t)/14.33285523805181)*P(t) + 0.768873878858443*P(t)**0.333333333333333,c0*(-c1 + P/c2)*(c3 - P/c4)*P + c5*P**c6,c0;c1;c2;c3;c4;c5;c6,7.688738788584430e-01;1.000000000000000e+00;8.670374869520632e+00;1.000000000000000e+00;1.433285523805181e+01;7.688738788584430e-01;3.333333333333330e-01,0.768873878858443*(-1 + P/8.670374869520632)*(1 - P/14.33285523805181)*P + 0.768873878858443*P**0.333333333333333,5.861963272259267e-14,5.843673874503198e-14,8.964468849567394e-07
bio_pop_growth,BPG18,t;P,0.4770530111687279*P(t)*sin(0.7760602430275763*t) + 0.44545499474048156*(1 - P(t)/51.06128580599878)*P(t) + 0.44545499474048156*P(t),c0*P*sin(c1*t) + c2*(c3 - P/c4)*P + c5*P,c0;c1;c2;c3;c4;c5,4.770530111687279e-01;7.760602430275763e-01;4.454549947404816e-01;1.000000000000000e+00;5.106128580599878e+01;4.454549947404816e-01,0.4770530111687279*P*sin(0.7760602430275763*t) + 0.44545499474048156*(1 - P/51.06128580599878)*P + 0.44545499474048156*P,1.0209951399247978e-12,1.1484591464413903e-12,1.7428774610773145e-12
bio_pop_growth,BPG19,t;P,0.42056708240583474*(1 - P(t)/84.4133476416777)*P(t) + 0.42056708240583474*P(t)/t**2.5945383274467897,c0*(c1 - P/c2)*P + c3*P/t**c4,c0;c1;c2;c3;c4,4.205670824058347e-01;1.000000000000000e+00;8.441334764167770e+01;4.205670824058347e-01;2.594538327446790e+00,0.42056708240583474*(1 - P/84.4133476416777)*P + 0.42056708240583474*P/t**2.5945383274467897,8.958873972299221e-14,9.644067549231507e-14,1.1560866205780519e-08
bio_pop_growth,BPG20,t;P,0.13870625668024555*(-1 + P(t)/8.038138014396704)*(1 - P(t)/70.01799944958296)*P(t) + 0.13870625668024555*(1 - P(t)/70.01799944958296)*P(t) + 0.13870625668024555*P(t)/(1 + exp(-8.038138014396704*(-0.5894251550796137 + P(t)))),c0*(-c1 + P/c2)*(c3 - P/c4)*P + c5*(c6 - P/c7)*P + c8*P/(c9 + exp(-c10*(-c11 + P))),c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11,1.387062566802456e-01;1.000000000000000e+00;8.038138014396704e+00;1.000000000000000e+00;7.001799944958296e+01;1.387062566802456e-01;1.000000000000000e+00;7.001799944958296e+01;1.387062566802456e-01;1.000000000000000e+00;8.038138014396704e+00;5.894251550796137e-01,0.13870625668024555*(-1 + P/8.038138014396704)*(1 - P/70.01799944958296)*P + 0.13870625668024555*(1 - P/70.01799944958296)*P + 0.13870625668024555*P/(1 + exp(-8.038138014396704*(-0.5894251550796137 + P))),5.730604749954593e-13,6.296635326858473e-13,3.4417998182147907e-09
bio_pop_growth,BPG21,t;P,0.1404201690960543*(-1 + P(t)/4.5321236760653205)*(1 - P(t)/78.49071311458529)*P(t) + 0.1404201690960543*P(t)/t**4.5321236760653205,c0*(-c1 + P/c2)*(c3 - P/c4)*P + c5*P/t**c6,c0;c1;c2;c3;c4;c5;c6,1.404201690960543e-01;1.000000000000000e+00;4.532123676065321e+00;1.000000000000000e+00;7.849071311458529e+01;1.404201690960543e-01;4.532123676065321e+00,0.1404201690960543*(-1 + P/4.5321236760653205)*(1 - P/78.49071311458529)*P + 0.1404201690960543*P/t**4.5321236760653205,2.6660771447647868e-15,2.825703697734923e-15,2.196856037360955e-14
bio_pop_growth,BPG22,t;P,0.11781609251252895*(1 - exp(-0.027228491244958825*P(t)))*P(t) + 0.11781609251252895*P(t)*exp(-0.027228491244958825*t),c0*(c1 - exp(-c2*P))*P + c3*P*exp(-c4*t),c0;c1;c2;c3;c4,1.178160925125289e-01;1.000000000000000e+00;2.722849124495882e-02;1.178160925125289e-01;2.722849124495882e-02,0.11781609251252895*(1 - exp(-0.027228491244958825*P))*P + 0.11781609251252895*P*exp(-0.027228491244958825*t),1.8860853292710834e-15,1.8303064009834727e-15,2.4490669458091292e-14
bio_pop_growth,BPG23,t;P,0.5980421690791728*(1 - P(t)/32.93940240233941)*P(t) + 0.5980421690791728*(1 - exp(-0.07682777495563793*P(t)))*P(t),c0*(c1 - P/c2)*P + c3*(c4 - exp(-c5*P))*P,c0;c1;c2;c3;c4;c5,5.980421690791728e-01;1.000000000000000e+00;3.293940240233941e+01;5.980421690791728e-01;1.000000000000000e+00;7.682777495563793e-02,0.5980421690791728*(1 - P/32.93940240233941)*P + 0.5980421690791728*(1 - exp(-0.07682777495563793*P))*P,4.1476671603971186e-13,6.546796201418258e-13,1.1363804300288344e-08
chem_react,CRK0,t;A,-0.18997742423620262*A(t)**2 + 0.18997742423620262_z*A(t)**2/(0.7497988950401423*A(t)**4 + 1),-c0*A**c1 + c2*_z*A**c3/(c4*A**c5 + c6),c0;c1;c2;c3;c4;c5;c6;_z,1.899774242362026e-01;2.000000000000000e+00;1.899774242362026e-01;2.000000000000000e+00;7.497988950401423e-01;4.000000000000000e+00;1.000000000000000e+00;2.420681702737336e+00,-0.18997742423620262*A**2 + 0.45987487478174419*A**2/(0.7497988950401423*A**4 + 1),2.782761818956936e-12,1.993407667794921e-12,1.0216822990507776e-08
chem_react,CRK1,t;A,-0.7725880991236428*A(t)**2 - 0.7725880991236428*A(t) + 0.7725880991236428_w*cos(log(A(t) + 1)),-c0*A**c1 - c2*A + c3*_w*cos(log(A + c4)),c0;c1;c2;c3;c4;_w,7.725880991236428e-01;2.000000000000000e+00;7.725880991236428e-01;7.725880991236428e-01;1.000000000000000e+00;9.580884805497890e-01,-0.7725880991236428*A**2 - 0.7725880991236428*A + 0.7402077579802207*cos(log(A + 1)),2.701124284379217e-13,2.2846721160847357e-13,1.0268596481107936e-08
chem_react,CRK2,t;A,-0.19494483384724354*A(t) + 0.19494483384724354_w*cos(log(A(t) + 1)),-c0*A + c1*_w*cos(log(A + c2)),c0;c1;c2;_w,1.949448338472435e-01;1.949448338472435e-01;1.000000000000000e+00;1.273130777352880e+00,-0.19494483384724354*A + 0.24819026785686927*cos(log(A + 1)),4.464695047431651e-11,4.9963964404403013e-11,1.591359707303792e-08
chem_react,CRK3,t;A,-0.547523655303147*A(t)**2 - 0.547523655303147*A(t)*exp(-0.547523655303147_s*t) + 0.547523655303147_w*cos(log(A(t) + 1)),-c0*A**c1 - c2*A*exp(-c3*_s*t) + c4*_w*cos(log(A + c5)),c0;c1;c2;c3;c4;c5;_s;_w,5.475236553031469e-01;2.000000000000000e+00;5.475236553031469e-01;5.475236553031469e-01;5.475236553031469e-01;1.000000000000000e+00;6.772136273434093e-02;1.287473124298832e+00,-0.547523655303147*A**2 - 0.547523655303147*A*exp(-0.0370790480664167*t) + 0.704921991120659*cos(log(A + 1)),3.503713152139217e-13,3.5271408574230426e-13,2.0730605122200265e-09
chem_react,CRK4,t;A,-0.11492904603507054*A(t)**2 + 0.11492904603507054_q*A(t)*log(0.2569297861044923*t + 1),-c0*A**c1 + c2*_q*A*log(c3*t + c4),c0;c1;c2;c3;c4;_q,1.149290460350705e-01;2.000000000000000e+00;1.149290460350705e-01;2.569297861044923e-01;1.000000000000000e+00;5.922397640265036e-01,-0.11492904603507054*A**2 + 0.068065551103601343*A*log(0.2569297861044923*t + 1),2.8196673159170716e-14,2.131826952401805e-14,1.7853940426320213e-10
chem_react,CRK5,t;A,-0.3254156367450257*sqrt(A(t)) + 0.3254156367450257_f*A(t)**0.333333333333333,-c0*sqrt(A) + c1*_f*A**c2,c0;c1;c2;_f,3.254156367450257e-01;3.254156367450257e-01;3.333333333333330e-01;1.607021923755526e+00,0.5229500625821207*A**0.333333333333333 - 0.3254156367450257*sqrt(A),2.2717460805437305e-14,2.3458247239704558e-14,3.1311644277104284e-12
chem_react,CRK6,t;A,-0.4465879557417327*A(t)*exp(-0.4465879557417327_s*t) + 0.4465879557417327_m*sin(sqrt(A(t))),-c0*A*exp(-c1*_s*t) + c2*_m*sin(sqrt(A)),c0;c1;c2;_m;_s,4.465879557417327e-01;4.465879557417327e-01;4.465879557417327e-01;2.219156277024679e+00;1.939199197113028e-01,-0.4465879557417327*A*exp(-0.08660230052147167*t) + 0.9910484652278855*sin(sqrt(A)),2.326610874832192e-13,2.80770938267829e-13,1.6193992247351996e-10
